"Name","City (HappyCow)","County","Veg Type","Status","Address","Phone","Website","HappyCow URL","Review Count","Description","In App","App Name"
"Nobu Miami","Miami Beach","Miami / Dade County","Vegan","Closed","4525 Collins Ave, Miami Beach, Florida, USA, 33140","+1-305-695-3232","http://www.noburestaurants.com/","https://www.happycow.net/reviews/nobu-miami-beach-111016","3","Reviews of vegan-friendly restaurant Nobu Miami in Miami Beach, Florida, USA","No",""
"Oh Mexico","Miami Beach","Miami / Dade County","Vegan","Open","1440 Washington Ave, Miami Beach, Florida, USA, 33139","+1-305-532-0490","https://www.ohmexicorestaurant.com/","https://www.happycow.net/reviews/oh-mexico-miami-beach-263622","4","Reviews of vegan-friendly restaurant Oh Mexico in Miami Beach, Florida, USA","No",""
"P.Pole Pizza","Miami Beach","Miami / Dade County","Vegetarian","Open","701 Washington Ave, Miami Beach, Florida, USA, 33139","+1-786-453-2132","https://ppolepizza.com/","https://www.happycow.net/reviews/p-pole-pizza-miami-beach-358580","1","Reviews of vegan-friendly restaurant P.Pole Pizza in Miami Beach, Florida, USA","No",""
"Pizza De Miami 2","Miami Beach","Miami / Dade County","Vegan","Open","1447 Washington Ave, Miami Beach, Florida, USA, 33139","+1-305-397-8452","http://pizza-de-miami.com/","https://www.happycow.net/reviews/pizza-de-miami-two-miami-beach-420517","4","Reviews of vegan-friendly restaurant Pizza De Miami 2 in Miami Beach, Florida, USA","No",""
"Plnthouse","Miami Beach","Miami / Dade County","Vegan-Friendly","Open","2341 Collins Ave (at One Hotel & Homes), Miami Beach, Florida, USA, 33139","+1-305-604-6881","https://www.1hotels.com/south-beach/taste/plnthouse","https://www.happycow.net/reviews/plnthouse-miami-beach-190500","10","Reviews of vegan-friendly restaurant Plnthouse in Miami Beach, Florida, USA 'couldn’t enter. wonder if i was turned away cause i was in shorts and a casual shirt'","No",""
"Pura Vida","Miami Beach","Miami / Dade County","Vegan","Open","110 Washington Ave, Miami Beach, Florida, USA, 33139","+1-305-535-4142","http://puravida.miami/","https://www.happycow.net/reviews/pura-vida-miami-beach-118853","19","Reviews of vegan-friendly restaurant Pura Vida - South of Fifth in Miami Beach, Florida, USA 'Had a great breakfast here. Many vegan options. I had the avocado toast and my husband and I shared a slice of the delicious vegan banana bread. '","Yes","Pura Vida"
"Pura Vida","Miami Beach","Miami / Dade County","Vegan-Friendly","Open","1940 Alton Rd, Miami Beach, Florida, USA, 33139","","https://www.puravidamiami.com/","https://www.happycow.net/reviews/pura-vida-miami-beach-329804","5","Reviews of vegan-friendly restaurant Pura Vida - Sunset Harbor in Miami Beach, Florida, USA","Yes","Pura Vida"
"Sawadee Thai","Miami Beach","Miami / Dade County","Vegan","Open","6968 Bay Dr E (at 71st St), Miami Beach, Florida, USA, 33141","+1-305-866-8111","https://sawaddeethaitogo.com/","https://www.happycow.net/reviews/sawadee-thai-miami-beach-30782","6","Reviews of vegan-friendly restaurant Sawadee Thai in Miami Beach, Florida, USA 'So this spot did clarify and knew right away what was vegan and not. Or what could be made vegan. Pad Thai sauce is pre-made and contains fish sauce. Curries are'","No",""
"Smart Bowls","Miami Beach","Miami / Dade County","Vegan","Open","955 Alton Rd, No 031 (at Alton Food Hall), Miami Beach, Florida, USA, 33139","+1-305-946-9959","https://smart-bowls-miami-beach.business.site/","https://www.happycow.net/reviews/smart-bowls-miami-beach-352925","","Vegan-friendly restaurant Smart Bowls - Alton Food Hall in Miami Beach, Florida, USA has not been reviewed yet. Consider sharing your experience with Happycow's vegan & vegetarian community by writing the first review!","No",""
"Spris Artisan Pizza","Miami Beach","Miami / Dade County","Vegan","Open","731 Lincoln Rd, Miami Beach, Florida, USA, 33139","+1-305-673-2020","http://sprispizza.com/","https://www.happycow.net/reviews/spris-artisan-pizza-miami-beach-370948","9","Reviews of vegan-friendly restaurant Spris Artisan Pizza in Miami Beach, Florida, USA","No",""
"Sweet Liberty","Miami Beach","Miami / Dade County","Vegan","Open","237 B 20th St, Miami Beach, Florida, USA, 33139","+1-305-763-8217","https://www.mysweetliberty.com/","https://www.happycow.net/reviews/sweet-liberty-miami-beach-327484","4","Reviews of vegan-friendly restaurant Sweet Liberty in Miami Beach, Florida, USA 'Sweet Liberty, Miami Beach — where the rosemary fries are sent straight from whatever heaven smells like herbs and salt, and the Impossible Burger does an'","No",""
"Taco Rico","Miami Beach","Miami / Dade County","Vegan-Friendly","Open","409 15th St (at Washington Ave), Miami Beach, Florida, USA, 33139","+1-305-535-5757","http://www.tacoricotmc.com/","https://www.happycow.net/reviews/taco-rico-miami-beach-87699","23","Reviews of vegan-friendly restaurant Taco Rico in Miami Beach, Florida, USA 'I’d describe it as a wrap. Or a salad in a tortilla. Or some frozen veggies in a bean blanket. The filling was broccoli, kale, zucchini etc. Atomic sauce made the'","No",""
"Taquiza","Miami Beach","Miami / Dade County","Vegan","Open","7450 Ocean Terrace (at in The Broadmore), Miami Beach, Florida, USA, 33141","+1-786-588-4755","https://www.taquizatacos.com/","https://www.happycow.net/reviews/taquiza-miami-beach-261533","4","Reviews of vegan-friendly restaurant Taquiza - Ocean Terrace in Miami Beach, Florida, USA 'totopos now fried in beef tallow :(((( you can still get the raja tacos but that’s it'","No",""
"Thai House","Miami Beach","Miami / Dade County","Vegan","Open","1137 Washington Ave, Miami Beach, Florida, USA, 33139","+1-305-531-4841","https://www.thaihousesouthbeach.com/","https://www.happycow.net/reviews/house-of-thai-miami-beach-43128","16","Reviews of vegan-friendly restaurant Thai House in Miami Beach, Florida, USA 'Several options and knowledgeable about no egg or fish sauce. I was just there for an app and got the fried tofu. It came with a nice sweet and sour sauce with'","No",""
"The Front Porch Cafe","Miami Beach","Miami / Dade County","Vegan","Open","918 Ocean Drive, Miami Beach, Florida, USA, 33139","+1-305-531-8300","http://www.frontporchoceandrive.com/","https://www.happycow.net/reviews/the-front-porch-cafe-miami-beach-189829","7","Reviews of vegan-friendly restaurant The Front Porch Cafe in Miami Beach, Florida, USA 'I came here because a previous review said there were vegan options. Must have been a while ago because there was only one and it wasn’t even on the'","No",""
"The Sandbox","Miami Beach","Miami / Dade County","Vegan","Open","2341 Collins Ave (at 1 Hotel South Beach), Miami Beach, Florida, USA, 33139","+1-305-604-1000","https://www.1hotels.com/south-beach/taste/the-sandbox","https://www.happycow.net/reviews/the-sandbox-miami-beach-508745","5","Reviews of vegan-friendly restaurant The Sandbox in Miami Beach, Florida, USA 'The Sandbox is a poolside bar and restaurant at the 1 Hotel Miami Beach. They have a few marked vegan options on the menu, letting us vegans have an uninterrupted'","No",""
"WATR","Miami Beach","Miami / Dade County","Vegan","Open","2341 Collins Ave (at 1 Hotel South Beach), Miami Beach, Florida, USA, 33139","+1-305-604-6511","https://www.1hotels.com/south-beach/taste/watr-at-the-rooftop","https://www.happycow.net/reviews/watr-miami-beach-398854","2","Reviews of vegan-friendly restaurant WATR in Miami Beach, Florida, USA 'Watr is a gorgeous, vibey rooftop restaurant at the 1 Hotel Miami Beach, with amazing ocean views and people-watching. It’s very trendy and made me feel entirely too'","No",""
"Rice Mediterranean Kitchen","Coral Gables","Miami / Dade County","Vegan","Open","164 Giralda Ave, Coral Gables, Florida, USA, 33134","+1-305-200-5282","https://ricekitchen.com/","https://www.happycow.net/reviews/rice-mediterranean-kitchen-coral-gables-292792","2","Reviews of vegan-friendly restaurant Rice Mediterranean Kitchen in Coral Gables, Florida, USA 'Simple vegan options to pick from - cant really go wrong with the bowls or wrap they options they have.'","No",""
"Courtney's Cookies","Coral Gables","Miami / Dade County","Vegan","Open","955 Alton Rd, Coral Gables, Florida, USA, 33139","+1-330-881-4676","https://www.courtneyscookies.com/","https://www.happycow.net/reviews/courtneys-cookies-coral-gables-174956","7","Reviews of vegan-friendly delivery service Courtney's Cookies in Coral Gables, Florida, USA","No",""
"Amore","Coral Gables","Miami / Dade County","Vegan","Closed","256 Giralda Ave, Coral Gables, Florida, USA, 33134","+1-786-542-9115","https://leafletjs.com/","https://www.happycow.net/reviews/amore-gelato-caffe-coral-gables-341212","","Dairy-free ice cream or gelato Amore - Gelato & Caffe in Coral Gables, Florida, USA has not been reviewed yet. Consider sharing your experience with Happycow's vegan & vegetarian community by writing the first review!","No",""
"Bombay Darbar","Miami","Miami / Dade County","Vegan","Open","2901 Florida Ave, Miami, Florida, USA, 33133","+1-305-444-7272","https://www.bombaydarbar.com/","https://www.happycow.net/reviews/bombay-darbar-miami-243772","7","Reviews of vegan-friendly restaurant Bombay Darbar in Miami, Florida, USA 'Nice ambiance, easy ordering cause everything was clearly marked. A little pricey'","No",""
"Burgermeister","Miami","Miami / Dade County","Vegan-Friendly","Open","1111 SW 1st Ave (at SW 11th St), Miami, Florida, USA, 33130","+1-305-500-1424","http://www.burgermeistermiami.com/","https://www.happycow.net/reviews/burgermeister-brickell-miami-343145","6","Reviews of vegan-friendly restaurant Burgermeister - Brickell  in Miami, Florida, USA 'I have been informed that they have changed their menu and they now cook all fries in beef tallow. They also use a shared grill for the vegan burger.'","Yes","Burgermeister"
"Cafe La Trova","Miami","Miami / Dade County","Vegan","Open","971 SW 8th St, Miami, Florida, USA, 33130","+1-786-615-4379","https://www.doordash.com/store/cafe-la-trova-miami-25002259/?utm_campaign=gpa","https://www.happycow.net/reviews/cafe-la-trova-miami-405705","9","Reviews of vegan-friendly restaurant Cafe La Trova in Miami, Florida, USA 'Great food, great happy hour, great service. Very accommodating to vegans. Appetizers: Ground mushroom fingers, spinach empanadas. Main meal: mushrooms, black'","No",""
"Cantina La Veinte","Miami","Miami / Dade County","Vegan","Open","495 Brickell Ave, Miami, Florida, USA, 33131","+1-786-623-6135","https://cantinala20.com/","https://www.happycow.net/reviews/cantina-la-veinte-miami-390897","1","Reviews of vegan-friendly restaurant Cantina La Veinte in Miami, Florida, USA","No",""
"Carrot Express","Miami","Miami / Dade County","Vegan","Open","9802 NE 2nd Ave, Miami, Florida, USA, 33138","+1-786-362-6646","https://www.ubereats.com/store/carrot-express-miami-shores/WUs5zdG8Sw6lDavuTE4NQQ","https://www.happycow.net/reviews/carrot-express-miami-500684","","Vegan-friendly restaurant Carrot Express in Miami, Florida, USA has not been reviewed yet. Consider sharing your experience with Happycow's vegan & vegetarian community by writing the first review!","Yes","Carrot Express"
"Carrot Express","Miami","Miami / Dade County","Vegan","Open","1111 Brickell Ave, Miami, Florida, USA, 33131","+1-786-762-2607","http://www.eatcarrotexpress.com/","https://www.happycow.net/reviews/carrot-express-miami-452914","1","Reviews of vegan-friendly restaurant Carrot Express - Brickell in Miami, Florida, USA 'I asked to get my acai Bowl without Granola and if they could get me some more fruits on top in Exchange and they did. Bowl was good. Matcha as well.'","Yes","Carrot Express"
"Carrot Express","Miami","Miami / Dade County","Vegan","Open","98 NE 2nd Ave, Miami, Florida, USA, 33131","+1-786-646-0620","https://eatcarrotexpress.com/","https://www.happycow.net/reviews/carrot-express-miami-190420","15","Reviews of vegan-friendly restaurant Carrot Express - Downtown in Miami, Florida, USA 'When ordering, you can filter vegan to get the vegan Options. Some other Bowls could be made vegan by removing cheese, I guess.'","Yes","Carrot Express"
"Carrot Express","Miami","Miami / Dade County","Vegan","Open","13550 SW 120th St, Unit 418, Miami, Florida, USA, 33186","+1-786-701-8991","https://carrotexpress.com/","https://www.happycow.net/reviews/carrot-express-miami-460001","","Vegan-friendly restaurant Carrot Express - London Square in Miami, Florida, USA has not been reviewed yet. Consider sharing your experience with Happycow's vegan & vegetarian community by writing the first review!","Yes","Carrot Express"
"Carrot Express","Miami","Miami / Dade County","Vegan","Open","3252 Buena Vista Blvd, Miami, Florida, USA, 33137","+1-786-312-1424","http://www.eatcarrotexpress.com/","https://www.happycow.net/reviews/carrot-express-miami-190419","10","Reviews of vegan-friendly restaurant Carrot Express - Midtown in Miami, Florida, USA","Yes","Carrot Express"
"Carrot Express","Miami","Miami / Dade County","Vegan","Unknown","1418 NW N River Dr, Miami, Florida, USA, 33125","+1-786-837-6400","https://carrotexpress.com/","https://www.happycow.net/reviews/carrot-express-miami-401022","1","Reviews of vegan-friendly restaurant Carrot Express - River Landing in Miami, Florida, USA 'I got the vegan picadillo bowl which was outstanding. There were several other vegan options. Nonvegan friends were happy too. The staff were very'","Yes","Carrot Express"
"CAVA","Miami","Miami / Dade County","Vegan","Open","801 Brickell Ave, Miami, Florida, USA, 33131","+1-645-400-8502","http://cava.com/","https://www.happycow.net/reviews/cava-miami-502382","","Vegan-friendly restaurant CAVA -  Miami in Miami, Florida, USA has not been reviewed yet. Consider sharing your experience with Happycow's vegan & vegetarian community by writing the first review!","No",""
"CAVA","Miami","Miami / Dade County","Vegan","Open","18801, Biscayne Boulevard, Miami, Florida, USA, 33180","+1-786-320-8484","https://www.ubereats.com/store/cava-18801-biscayne-blvd/zQV8Bds8W_2LdOkAH2tAlw?utm_campaign=CM2508147-search-free-nonbrand-google-pas_e_all_acq_Global&utm_medium=search-free-nonbrand&utm_source=google-pas","https://www.happycow.net/reviews/cava-miami-494264","","Vegan-friendly restaurant CAVA - Miami in Miami, Florida, USA has not been reviewed yet. Consider sharing your experience with Happycow's vegan & vegetarian community by writing the first review!","No",""
"Chipotle","Miami","Miami / Dade County","Vegan","Open","5600 Blue Lagoon Dr, Miami, Florida, USA, 33126","+1-786-361-1024","https://d1mvj2ulps5lli.cloudfront.net/venues/1024/20/43/chain20_43_1528698783.jpeg","https://www.happycow.net/reviews/chipotle-miami-272883","","Vegan-friendly restaurant Chipotle in Miami, Florida, USA has not been reviewed yet. Consider sharing your experience with Happycow's vegan & vegetarian community by writing the first review!","No",""
"Chipotle","Miami","Miami / Dade County","Vegan","Open","2235 SW 37 Ave, Miami, Florida, USA, 33145","+1-786-441-2385","https://d1mvj2ulps5lli.cloudfront.net/venues/1024/20/43/chain20_43_1528698783.jpeg","https://www.happycow.net/reviews/chipotle-miami-42816","2","Reviews of vegan-friendly restaurant Chipotle in Miami, Florida, USA","No",""
"Chipotle","Miami","Miami / Dade County","Vegan","Open","7230 NW 36th St, Miami, Florida, USA, 33166","+1-305-591-2742","https://d1mvj2ulps5lli.cloudfront.net/venues/1024/20/43/chain20_43_1528698783.jpeg","https://www.happycow.net/reviews/chipotle-miami-129156","1","Reviews of vegan-friendly restaurant Chipotle - 36th St in Miami, Florida, USA 'I was staying at a hotel just around the corner for work for a couple days and ate here twice. They have a Sofritas Vegan Bowl made with Cilantro-Lime'","No",""
"Chipotle","Miami","Miami / Dade County","Vegan","Open","2200 SW 87th Ave, Miami, Florida, USA, 33165","+1-305-221-5563","https://d1mvj2ulps5lli.cloudfront.net/venues/1024/20/43/chain20_43_1528698783.jpeg","https://www.happycow.net/reviews/chipotle-miami-129159","","Vegan-friendly restaurant Chipotle - 87th Ave in Miami, Florida, USA has not been reviewed yet. Consider sharing your experience with Happycow's vegan & vegetarian community by writing the first review!","No",""
"Chipotle","Miami","Miami / Dade County","Vegan","Open","13612 SW 88th St, Miami, Florida, USA, 33186","+1-305-408-6557","https://d1mvj2ulps5lli.cloudfront.net/venues/1024/20/43/chain20_43_1528698783.jpeg","https://www.happycow.net/reviews/chipotle-miami-129161","","Vegan-friendly restaurant Chipotle - 88th St in Miami, Florida, USA has not been reviewed yet. Consider sharing your experience with Happycow's vegan & vegetarian community by writing the first review!","No",""
"Chipotle","Miami","Miami / Dade County","Vegan","Open","6290 S Dixie Hwy, Miami, Florida, USA, 33143","+1-305-668-3831","https://d1mvj2ulps5lli.cloudfront.net/venues/1024/20/43/chain20_43_1528698783.jpeg","https://www.happycow.net/reviews/chipotle-south-miami-129162","","Vegan-friendly restaurant Chipotle - Dixie Hwy in Miami, Florida, USA has not been reviewed yet. Consider sharing your experience with Happycow's vegan & vegetarian community by writing the first review!","No",""
"Chipotle","Miami","Miami / Dade County","Vegan","Open","10141 W Flagler St Ste 100, Miami, Florida, USA, 33174","+1-305-554-8674","https://d1mvj2ulps5lli.cloudfront.net/venues/1024/20/43/chain20_43_1528698783.jpeg","https://www.happycow.net/reviews/chipotle-miami-129158","","Vegan-friendly restaurant Chipotle - Flagler St in Miami, Florida, USA has not been reviewed yet. Consider sharing your experience with Happycow's vegan & vegetarian community by writing the first review!","No",""
"Coney Burger","Miami","Miami / Dade County","Vegan","Closed","3310 NW 30th St, Miami, Florida, USA, 33142","+1-786-523-2722","https://www.coneyburger.com/","https://www.happycow.net/reviews/coney-burger-miami-315383","2","Reviews of vegan-friendly restaurant Coney Burger  in Miami, Florida, USA","No",""
"Coyo Taco","Miami","Miami / Dade County","Vegan","Open","2300 NW 2nd Ave, Miami, Florida, USA, 33127","+1-305-573-8228","http://www.coyo-taco.com/","https://www.happycow.net/reviews/coyo-taco-miami-190122","5","Reviews of vegan-friendly restaurant Coyo Taco in Miami, Florida, USA 'I ordered the cauliflower and plantain tacos without any cheese and cream. Everything tasted great. Perfect place if you’re passing by. ￼'","No",""
"Cubata Tapas y Vinos","Miami","Miami / Dade County","Vegan-Friendly","Open","1605 SW 8th St, Miami, Florida, USA, 33135","+1-786-535-4111","https://leafletjs.com/","https://www.happycow.net/reviews/cubata-tapas-y-vinos-miami-377120","4","Reviews of vegan-friendly restaurant Cubata Tapas y Vinos in Miami, Florida, USA","No",""
"D'Oro","Miami","Miami / Dade County","Vegan","Open","267 E Flagler St, Miami, Florida, USA, 33131","+1-786-787-2378","https://www.doropizzabar.com/","https://www.happycow.net/reviews/doro-miami-268360","1","Reviews of vegan-friendly restaurant D'Oro  in Miami, Florida, USA","No",""
"DC Pie Co.","Miami","Miami / Dade County","Vegan-Friendly","Open","1010 Brickell Ave No 200, Miami, Florida, USA, 33131","+1-786-453-6888","http://dcpieco.com/","https://www.happycow.net/reviews/dc-pie-co-miami-247741","3","Reviews of vegan-friendly restaurant DC Pie Co. in Miami, Florida, USA","No",""
"Delight of Beirut","Miami","Miami / Dade County","Vegan","Open","1223 W Flagler St, Miami, Florida, USA, 33135","+1-305-603-7745","https://delightsofbeirut.com/","https://www.happycow.net/reviews/delight-of-beirut-miami-428014","9","Reviews of vegan-friendly restaurant Delight of Beirut in Miami, Florida, USA 'They had a lot of vegan options! The food was clearly freshly made, and it was delicious. They seem to do a lot of take-out business. The restaurant itself is'","No",""
"Diced","Miami","Miami / Dade County","Vegan","Open","9050 S Dixie Hwy, Miami, Florida, USA, 33156","+1-305-531-0766","https://dicedfood.com/","https://www.happycow.net/reviews/diced-miami-124647","5","Reviews of vegan-friendly restaurant Diced in Miami, Florida, USA 'Was excited to try this place but had set my expectations too high. The vegan chicken isn’t seasoned at all and is basically just raw tofu. Overall it just wasn’t very'","Yes","Diced"
"Diced","Miami","Miami / Dade County","Vegan","Open","10600 SW 8th St, Miami, Florida, USA, 33174","+1-305-770-6400","https://dicedfood.com/","https://www.happycow.net/reviews/diced-miami-333634","","Vegan-friendly restaurant Diced - FIU in Miami, Florida, USA has not been reviewed yet. Consider sharing your experience with Happycow's vegan & vegetarian community by writing the first review!","Yes","Diced"
"Diced","Miami","Miami / Dade County","Vegan","Unknown","2342 SW 67th Ave, Miami, Florida, USA, 33155","+1-786-773-2190","https://dicedfood.com/","https://www.happycow.net/reviews/diced-miami-333633","","Vegan-friendly restaurant Diced - West in Miami, Florida, USA has not been reviewed yet. Consider sharing your experience with Happycow's vegan & vegetarian community by writing the first review!","Yes","Diced"
"Doral Thai","Miami","Miami / Dade County","Vegan","Open","2613 NW 79th Ave, Miami, Florida, USA, 33122","+1-305-418-8311","http://www.doralthai.com/","https://www.happycow.net/reviews/doral-thai-miami-221628","3","Reviews of vegan-friendly restaurant Doral Thai in Miami, Florida, USA 'This small Thai restaurant is family friendly and convenient for a quick meal. There are several vegan options among the typical Thai dishes. I had the fried spring'","No",""
"Double Luck Chinese","Miami","Miami / Dade County","Vegan","Closed","1085 NE 79th St, Miami, Florida, USA, 33138","+1-305-675-4287","https://doubleluckmiami.squarespace.com/","https://www.happycow.net/reviews/double-luck-chinese-miami-504113","1","Reviews of vegan-friendly restaurant Double Luck Chinese in Miami, Florida, USA 'Many dishes available as vegan and not just by removing meat—they make a mapo tofu that is authentic sichuan. Long beans Sichuan style and even a dessert made'","No",""
"Doya","Miami","Miami / Dade County","Vegan","Open","347 NW 24th St, Miami, Florida, USA, 33127","+1-305-501-2848","https://www.doyarestaurant.com/","https://www.happycow.net/reviews/doya-miami-266435","10","Reviews of vegan-friendly restaurant Doya in Miami, Florida, USA 'Best beet and eggplant I had in my life. '","No",""
"Dr Limon Ceviche Bar","Miami","Miami / Dade County","Vegan","Open","10544 SW 8th St, Miami, Florida, USA, 33174","+1-305-228-9198","https://www.ubereats.com/store/dr-limon-ceviche-bar-fiu-miami-fl/XEWme3veRNiV3XnHU1SPAw?utm_campaign=CM2508147-search-free-nonbrand-google-pas_e_all_acq_Global&utm_medium=search-free-nonbrand&utm_source=google-pas","https://www.happycow.net/reviews/dr-limon-ceviche-bar-miami-492108","1","Reviews of vegan-friendly restaurant Dr Limon Ceviche Bar in Miami, Florida, USA 'great service'","No",""
"Dr Smood","Miami","Miami / Dade County","Vegan-Friendly","Open","2230 NW 2nd Ave, Miami, Florida, USA, 33127","+1-786-334-4420","http://drsmood.com/","https://www.happycow.net/reviews/dr-smood-miami-67899","7","Reviews of vegan-friendly restaurant Dr Smood in Miami, Florida, USA 'Der Kaffee hat leider scheußlich geschmeckt. Preis-Leistung stimmt nicht. Avocadotoast war ok, nicht das beste, nicht das schlechteste. Service nur so mittel, wenn man'","Yes","Dr Smood"
"Dukunoo Jamaican Kitchen","Miami","Miami / Dade County","Vegan","Closed","316 Northwest 24th St, Miami, Florida, USA, 33127","+1-786-334-5162","http://www.dukunoojamaicankitchen.com/","https://www.happycow.net/reviews/dukunoo-jamaican-kitchen-miami-194945","4","Reviews of vegan-friendly restaurant Dukunoo Jamaican Kitchen in Miami, Florida, USA 'I had the vegan curry. It was pretty good.'","No",""
"Earls Kitchen + Bar","Miami","Miami / Dade County","Vegan","Open","150 NE 8th St Suite F-136, Miami, Florida, USA, 33132","+1-645-202-1488","https://www.ubereats.com/store/earls-miami-worldcenter/jeHguRsGWFmToe4dKNn3Qw","https://www.happycow.net/reviews/earls-kitchen-bar-miami-505700","1","Reviews of vegan-friendly restaurant Earls Kitchen + Bar in Miami, Florida, USA","No",""
"El Basha Grocery and Deli","Miami","Miami / Dade County","Vegan","Open","5821 SW 137 Ave, Miami, Florida, USA, 33175","+1-305-383-1367","https://leafletjs.com/","https://www.happycow.net/reviews/el-basha-grocery-and-deli-miami-42883","4","Reviews of vegan-friendly restaurant El Basha Grocery and Deli in Miami, Florida, USA 'Feels very homey! ','just walked in and out smelled bad empty'","No",""
"El Cristo Restaurant","Miami","Miami / Dade County","Vegan","Open","1543 SW 8th St., Miami, Florida, USA, 33135","+1-305-643-9992","http://www.elcristorestaurant.com/","https://www.happycow.net/reviews/el-cristo-restaurant-miami-462408","1","Reviews of vegan-friendly restaurant El Cristo Restaurant in Miami, Florida, USA 'Not the best vegan food ever, but I was happy to find this restaurant in Little Havana. Clearly labeled and tasteful vegan dishes. The staff is friendly. This'","No",""
"Faraon Restaurant","Miami","Miami / Dade County","Vegan","Open","7369 NW 36th St (at West Airport Centre), Miami, Florida, USA, 33166","+1-786-495-4166","https://www.faraonmiami.com/","https://www.happycow.net/reviews/faraon-restaurant-miami-334019","2","Reviews of vegan-friendly restaurant Faraon Restaurant in Miami, Florida, USA 'I would have left a 5 star if I did not realized I’ve been robbed, and still sipped generously '","No",""
"First Watch","Miami","Miami / Dade County","Vegetarian","Closed","5799 NW 7th St, Miami, Florida, USA, 33125","+1-786-605-5050","https://d1mvj2ulps5lli.cloudfront.net/venues/1024/28/33/chain283_331_1569261526.jpeg","https://www.happycow.net/reviews/first-watch-miami-332519","","Vegan-friendly restaurant First Watch in Miami, Florida, USA has not been reviewed yet. Consider sharing your experience with Happycow's vegan & vegetarian community by writing the first review!","No",""
"Fradiavolo Pizza","Miami","Miami / Dade County","Vegan","Open","281 NW 28th St, Miami, Florida, USA, 33127","+1-786-507-5135","https://www.ubereats.com/store/fradiavolo-nw-28th-st/1LoYoJEkSOuZ6C8KeKiDpw","https://www.happycow.net/reviews/fradiavolo-pizza-miami-497609","1","Reviews of vegan-friendly restaurant Fradiavolo Pizza in Miami, Florida, USA 'This was such a fantastic dinner experience! The pizza was incredibly fresh and full of flavor, with dough that was perfectly light and crispy. My partner ordered'","No",""
"Miami Fruit","Miami","Miami / Dade County","Vegan","Unknown","Miami, Miami, Florida, USA","+1-786-404-1437","https://miamifruit.org/","https://www.happycow.net/reviews/miami-fruit-miami-228323","1","Reviews of vegan-friendly delivery service Miami Fruit in Miami, Florida, USA","No",""
"Minuet Cakes","Miami","Miami / Dade County","Vegan","Open","1401 NE 191st St, Miami, Florida, USA, 33179","+1-786-780-3457","https://minuetcakes.com/","https://www.happycow.net/reviews/minuet-cakes-miami-487165","4","Vegan bakery Minuet Cakes in Miami, Florida, USA has not been reviewed yet. Consider sharing your experience with Happycow's vegan & vegetarian community by writing the first review!","No",""
"MusicSOL","Miami","Miami / Dade County","Vegan","Unknown","11230 SW 93 St, Miami, Florida, USA, 33176","","http://musicsol.net/","https://www.happycow.net/reviews/musicsol-miami-231752","2","Reviews of vegan-friendly MusicSOL  in Miami, Florida, USA 'Just checked their class options, and I’m floored by what’s available. Really excited to check this out:'","No",""
"My Plant Cake","Miami","Miami / Dade County","Vegan","Closed","11750 NE 16th Ave, Miami, Florida, USA","+1-786-403-2706","https://myplantcake.com/","https://www.happycow.net/reviews/my-plant-cake-miami-165114","","Vegan-friendly catering service My Plant Cake in Miami, Florida, USA has not been reviewed yet. Consider sharing your experience with Happycow's vegan & vegetarian community by writing the first review!","No",""
"My Vegan Organic Baby","Miami","Miami / Dade County","Vegan","Closed","2039 NW 1st Pl, Miami, Florida, USA, 33127","+1-305-987-7710","https://places-to-eat-near-me.com/restaurant/my-vegan-organic-baby","https://www.happycow.net/reviews/my-vegan-organic-baby-miami-259422","","Health food store My Vegan Organic Baby in Miami, Florida, USA has not been reviewed yet. Consider sharing your experience with Happycow's vegan & vegetarian community by writing the first review!","No",""
"No Nut Vegan Sweets","Miami","Miami / Dade County","Vegan","Closed","4111 SW 90 Ct, Miami, Florida, USA, 33165","+1-786-677-7255","https://www.nonutvegansweets.com/","https://www.happycow.net/reviews/no-nut-vegan-sweets-miami-228250","8","Vegan bakery No Nut Vegan Sweets in Miami, Florida, USA has not been reviewed yet. Consider sharing your experience with Happycow's vegan & vegetarian community by writing the first review!","No",""
"Nude Vurgers","Miami","Miami / Dade County","Vegan","Unknown","3801 Biscayne Blvd, Miami, Florida, USA, 33137","","https://leafletjs.com/","https://www.happycow.net/reviews/nude-vurgers-miami-452906","1","Reviews of vegan-friendly delivery service Nude Vurgers in Miami, Florida, USA","No",""
"El Bagel","Miami","Miami / Dade County","Vegan","Closed","6910 Biscayne Blvd, Miami, Florida, USA, 33138","+1-786-536-7365","http://www.el-bagel.com/","https://www.happycow.net/reviews/el-bagel-miami-206110","2","Reviews of vegan bakery El Bagel in Miami, Florida, USA 'Wow. Great bagel. Great price. ','EL BAGEL opened an instant before fears of Covid 19 shut down all restaurants. EL bagel'","No",""
"Gabriela Cora MD","Miami","Miami / Dade County","Vegan","Unknown","8101 Biscayne Blvd, Loft 516, Miami, Florida, USA, 33138","+1-305-762-7632","http://www.executivehealthwealth.com/","https://www.happycow.net/reviews/gabriela-cora-md-miami-145133","","Vegan professional Gabriela Cora MD in Miami, Florida, USA has not been reviewed yet. Consider sharing your experience with Happycow's vegan & vegetarian community by writing the first review!","No",""
