"Name","City","County","Veg Type","HappyCow Status","HappyCow Address","HappyCow Phone","HappyCow Website","HappyCow URL","Review Count","Place ID","Verified Address","Lat","Lng","Google Status","Google Website","Google Name"
"Doc B's","Coral Gables","Miami / Dade County","Vegan","Open","301 Miracle Mile, Coral Gables, Florida, USA, 33134","+1-786-864-1220","https://www.docbsrestaurant.com/","https://www.happycow.net/reviews/doc-bs-coral-gables-459165","","ChIJ__8Dp5C32YgRd4E6f-zoXM4","301 Miracle Mile, Coral Gables, FL 33134, USA","25.7496233","-80.26085669999999","OPERATIONAL","https://docbsrestaurant.com/locations/coral-gables","Doc B's Restaurant"
"Ichimi","Coral Gables","Miami / Dade County","Vegan","Open","2330 Salzedo Street, Coral Gables, Florida, USA, 33134","+1-305-960-7016","https://www.ubereats.com/store/ichimi-coral-gables/IDBYK6QCRv66KGU8z2p7RA?diningMode=DELIVERY&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlBPUyUyMFNvbHV0aW9ucyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUpoUTdkRWJKdTFtb1JXbzFndjllSUlMYyUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EtMzcuOTkwMjI4NiUyQyUyMmxvbmdpdHVkZSUyMiUzQTE0NS4xNTIzNjc5JTdE&utm_campaign=place-action-link&utm_medium=organic&utm_source=google","https://www.happycow.net/reviews/ichimi-coral-gables-396471","3","ChIJ_f-hCZq32YgRP_Wvr_wb0pY","2330 Salzedo St, Coral Gables, FL 33134, USA","25.750071799999997","-80.2609253","OPERATIONAL","https://ichimiramenbar.com/?utm_source=google","Ichimi (Coral Gables)"
"Bombay Darbar","Fort Lauderdale","Broward County","Vegan","Open","1521 E Las Olas Blvd, Fort Lauderdale, Florida, USA, 33301","+1-954-990-7222","https://www.bombaydarbar.com/","https://www.happycow.net/reviews/bombay-darbar-fort-lauderdale-225568","8","ChIJ6TrbL_AB2YgR4H1jUqdKRZM","1521 E Las Olas Blvd, Fort Lauderdale, FL 33301, USA","26.1194718","-80.1276651","OPERATIONAL","https://www.bombaydarbar.com/","Bombay Darbar Indian Restaurant"
"Casa Playa","Fort Lauderdale","Broward County","Vegan","Open","401 N Birch Rd, Fort Lauderdale, Florida, USA, 33304","+1-954-376-5512","https://casaplaya.com/","https://www.happycow.net/reviews/casa-playa-fort-lauderdale-449955","3","ChIJLQaFTwAB2YgRnfsBte0H0Vs","401 N Birch Rd Cu-1, Fort Lauderdale, FL 33304, USA","26.1281383","-80.10619170000001","OPERATIONAL","http://www.casaplaya.com/","Casa Playa"
"Casablanca Cafe","Fort Lauderdale","Broward County","Vegan","Open","3049 Alhambra St, Fort Lauderdale, Florida, USA, 33304","+1-954-764-3500","https://www.casablancacafeonline.com/","https://www.happycow.net/reviews/casablanca-cafe-fort-lauderdale-369116","3","ChIJF4DsqywA2YgR7CYjC65wVKM","3049 Alhambra St, Fort Lauderdale, FL 33304, USA","26.125203799999998","-80.10406019999999","OPERATIONAL","https://casablancacafeonline.com/","Casablanca Cafe"
"Dumpling Panda","Fort Lauderdale","Broward County","Vegan","Open","1824 Cordova Rd, Fort Lauderdale, Florida, USA, 33316","+1-754-200-4316","https://dumplingpanda.com/","https://www.happycow.net/reviews/dumpling-panda-fort-lauderdale-448695","4","ChIJc2QEMQAB2YgR-weFm_MolQo","1824 Cordova Rd, Fort Lauderdale, FL 33316, USA","26.0984339","-80.1290609","OPERATIONAL","http://www.dumplingpanda.com/","Dumpling Panda - Fort Lauderdale"
"Earl's Kitchen + Bar","Fort Lauderdale","Broward County","Vegan","Open","1002 E Las Olas Blvd, Fort Lauderdale, Florida, USA, 33301","+1-754-289-1997","https://www.ubereats.com/store/earls-kitchen-%2B-bar-las-olas/EffNq_qiXSSNf-zYSTKkuw?utm_campaign=CM2508147-search-free-nonbrand-google-pas_e_all_acq_Global&utm_medium=search-free-nonbrand&utm_source=google-pas","https://www.happycow.net/reviews/earls-kitchen-bar-fort-lauderdale-492814","1","ChIJ44sC7V4B2YgRY7AoBR2t48I","1002 E Las Olas Blvd, Fort Lauderdale, FL 33301, USA","26.1190484","-80.1331331","OPERATIONAL","https://www.earls.ca/locations/las-olas/","Earls Kitchen + Bar"
"Eatapas","Fort Lauderdale","Broward County","Vegan","Open","4140 N Federal Hwy, Fort Lauderdale, Florida, USA, 33308","+1-754-779-7554","https://www.eatapasfl.com/","https://www.happycow.net/reviews/eatapas-fort-lauderdale-264435","6","ChIJCT5hR0gD2YgRb5joVHgFy9c","4140 N Federal Hwy, Fort Lauderdale, FL 33308, USA","26.1791631","-80.1191077","OPERATIONAL","https://www.eatapasfl.com/","Eatapas"
"Gourmet Garden Cafe & Juices","Fort Lauderdale","Broward County","Vegan","Open","6139 N Federal Hwy, Fort Lauderdale, Florida, USA, 33308","+1-954-626-0452","http://www.gourmetgardencafe.com/","https://www.happycow.net/reviews/gourmet-garden-cafe-and-juices-fort-lauderdale-66965","6","ChIJd12U3XEC2YgRh9XT6WIMLyA","6139 N Federal Hwy, Fort Lauderdale, FL 33308, USA","26.2031174","-80.1094428","OPERATIONAL","http://www.gourmetgardencafe.com/","Gourmet Garden Cafe & Juices"
"IT Italy","Fort Lauderdale","Broward County","Vegan","Open","500 E Las Olas Blvd Ste 200, Fort Lauderdale, Florida, USA, 33301","+1-954-871-2113","http://www.ititaly.us/","https://www.happycow.net/reviews/it-italy-fort-lauderdale-200753","7","ChIJBxcPeLwB2YgRBVlc2Uc4gwc","500 E Las Olas Blvd #200, Fort Lauderdale, FL 33301, USA","26.1189309","-80.1379213","OPERATIONAL","http://www.ititaly.us/","IT! Italy Ristorante & Cafe & Bar"
"Jerk Machine","Fort Lauderdale","Broward County","Vegan","Open","317 SW 6th St, Fort Lauderdale, Florida, USA, 33315","+1-954-440-4556","http://www.jerkmachine.com/","https://www.happycow.net/reviews/jerk-machine-fort-lauderdale-120047","5","","","","","","",""
"Juice Bar & Cafe","Fort Lauderdale","Broward County","Vegan","Open","924 N Flagler Dr, Fort Lauderdale, Florida, USA, 33304","+1-954-368-2718","http://www.jbcflorida.com/","https://www.happycow.net/reviews/juice-bar-and-cafe-fort-lauderdale-112955","2","ChIJq6q6EakB2YgRp0I6bYbhTQU","924 N Flagler Dr, Fort Lauderdale, FL 33304, USA","26.1358601","-80.1391752","OPERATIONAL","http://www.jbcflorida.com/","JB&C Juice Bar & Cafe"
"KUBO","Fort Lauderdale","Broward County","Vegan","Open","745 SE 17th St, Fort Lauderdale, Florida, USA, 33316","+1-954-533-9017","https://www.kuboasianstreetfood.com/","https://www.happycow.net/reviews/kubo-fort-lauderdale-370435","2","ChIJR3pf5GYA2YgRbOBze5iWwI8","745 SE 17th St, Fort Lauderdale, FL 33316, USA","26.1009071","-80.1354602","OPERATIONAL","https://www.kuboasianstreetfood.com/","KUBO Asian fusion and bar -Ft. lauderdale"
"Living Green Cafe","Fort Lauderdale","Broward County","Vegan","Open","1489A SE 17th St (at Southport Shopping Cente), Fort Lauderdale, Florida, USA, 33316","","https://livinggreencafe.com/","https://www.happycow.net/reviews/living-green-cafe-fort-lauderdale-347458","13","ChIJ4WcpS9kB2YgRlyKh1Lv1jIQ","1489 SE 17th St, Fort Lauderdale, FL 33316, USA","26.101116599999997","-80.1283631","OPERATIONAL","https://www.livinggreencafe.com/l/lgd","Living Green Cafe - Fort Lauderdale 17 street"
"The Taco Joint","Hollywood","Broward County","Vegan","Open","1000 N Broadwalk Ste 1, Hollywood, Florida, USA, 33019","+1-954-866-3777","http://tacojointhollywood.com/","https://www.happycow.net/reviews/the-taco-joint-hollywood-119206","12","ChIJaUI4fDyr2YgREcWtEnlnzp0","1000 N Broadwalk #1, Hollywood, FL 33019, USA","26.0178776","-80.1154533","OPERATIONAL","https://thetacojoint.shop/","The Taco Joint"
"Ben & Jerry's","Hollywood","Broward County","Vegan","Open","1202 N Broadwalk, Hollywood, Florida, USA, 33019","+1-954-929-7085","https://www.benjerry.com/hollywoodbeach","https://www.happycow.net/reviews/ben-jerrys-hollywood-284603","1","ChIJt4vnoTyr2YgRzA8H5zVXcfQ","1202 N Broadwalk, Hollywood, FL 33019, USA","26.019758799999998","-80.1152791","OPERATIONAL","https://www.benjerry.com/hollywoodbeach","Ben & Jerry’s"
"The Skinny Dip","Hollywood","Broward County","Vegan","Open","3359 Sheridan St, Ste A (at Park Sheridan West Plaza), Hollywood, Florida, USA, 33021","+1-754-465-8586","https://ilovetheskinnydip.com/","https://www.happycow.net/reviews/the-skinny-dip-hollywood-391032","4","ChIJW9aNcaGr2YgRJBr5S9aJ8A8","3359A Sheridan St, Hollywood, FL 33021, USA","26.033322","-80.1769659","OPERATIONAL","https://instagram.com/theskinnydip.hollywood?igshid=OGQ5ZDc2ODk2ZA==","The Skinny Dip Frozen Yogurt Bar Hollywood"
"Eddie Hill's","Hallandale Beach","Broward County","Vegan","Open","134 N Federal Hwy, Hallandale Beach, Florida, USA, 33009","+1-954-454-0023","http://eddiehills.com/","https://www.happycow.net/reviews/eddie-hills-hallandale-beach-325848","2","ChIJfZtSHYCs2YgRNPpOxcbTQlc","134 N Federal Hwy, Hallandale Beach, FL 33009, USA","25.987718899999997","-80.1422004","OPERATIONAL","https://www.eddiehills.com/","Eddie Hills Sushi & Thai Restaurant"
"Piola","Hallandale Beach","Broward County","Vegan","Open","1703 East Hallandale Beach Blvd, Hallandale Beach, Florida, USA, 33009","+1-954-457-9394","https://www.piola.getsauce.com/hallandale-beach","https://www.happycow.net/reviews/piola-hallandale-beach-270000","16","ChIJWaOdb52s2YgRl5UlwNZXSas","1703 E Hallandale Beach Blvd, Hallandale Beach, FL 33009, USA","25.986904","-80.13145","OPERATIONAL","https://piolausa.com/locations-hallandale-beach-fl/","Piola Italian Restaurant Hallandale"
"WoodOne Ramen","Hallandale Beach","Broward County","Vegan","Open","800 E Hallandale Beach Blvd, Hallandale Beach, Florida, USA, 33009","+1-754-263-3084","https://leafletjs.com/","https://www.happycow.net/reviews/woodone-ramen-hallandale-beach-166586","7","ChIJBd643xOr2YgRcTOJzCFnZs8","800 E Hallandale Beach Blvd Ste 21, Hallandale Beach, FL 33009, USA","25.984884299999997","-80.139832","OPERATIONAL","https://www.woodoneramen.getsauce.com/?utm_source=GMB&utm_medium=Website%20button&utm_id=WoodOne%20Ramen","WoodOne Ramen"
"Zaatar","Hallandale Beach","Broward County","Vegan","Open","1021 W Hallandale Beach Blvd, Ste 104 (at Hallandale Beach Shops), Hallandale Beach, Florida, USA, 33009","+1-954-544-2014","https://zaatar.us/","https://www.happycow.net/reviews/zaatar-hallandale-beach-325755","","ChIJz-A29XSs2YgReMTYHRzC6zw","1021 W Hallandale Beach Blvd #104, Hallandale Beach, FL 33009, USA","25.9848662","-80.1625426","OPERATIONAL","http://zaatar.us/","Zaatar Shawarma Falafel Station"
"Phở Bar Vietnamese Kitchen","Davie","Broward County","Vegan","Open","6310 Griffin Rd (at Davie Rd), Davie, Florida, USA, 33314","+1-954-900-4909","http://phobar.co/","https://www.happycow.net/reviews/pho-bar-vietnamese-kitchen-davie-363709","4","ChIJ6S_Josqp2YgREUxSZkLHs4E","6310 Griffin Rd, Davie, FL 33314, USA","26.0646515","-80.2308219","OPERATIONAL","http://phobar.co/","Phở Bar Vietnamese Kitchen"
"Ye Olde Falcon Pub","Davie","Broward County","Vegan","Open","2867 S University Dr (at Shoppes of Rolling Hills), Davie, Florida, USA, 33328","+1-954-424-0300","http://www.yeoldefalconpub.com/","https://www.happycow.net/reviews/ye-olde-falcon-pub-davie-66054","4","ChIJmWjFDSGo2YgR2PE63jR4EoI","2867 S University Dr, Davie, FL 33328, USA","26.084913999999998","-80.2517474","OPERATIONAL","http://www.yeoldefalconpub.com/","Ye Olde Falcon Pub"
"Midnight Cookies & Cream","Davie","Broward County","Vegan","Open","4134 Davie Rd, Davie, Florida, USA, 33314","+1-954-530-0176","https://midnightcookiesandcream.com/location-davie-florida","https://www.happycow.net/reviews/midnight-cookies-cream-davie-280097","1","ChIJG6iZUByp2YgRvsHgIfB4IgM","4134 Davie Rd, Davie, FL 33314, USA","26.070573900000003","-80.2319677","OPERATIONAL","https://midnightcookiesandcream.com/location-davie-florida/?utm_source=daviekp","Midnight Cookies & Cream Davie"
"Friend's Market & Bistro","Miami","Miami / Dade County","Vegan","Open","31 SE 6th St, Miami, Florida, USA, 33131","+1-786-431-0981","http://www.friendsmarketbistro.com/","https://www.happycow.net/reviews/friends-market-bistro-miami-251374","1","ChIJiXoXS4O22YgRTp8yA_dw1-Q","31 SE 6th St, Miami, FL 33131, USA","25.768604800000002","-80.1918855","OPERATIONAL","https://friendsmarketbistro.com/","Friend's Market & Bistro"
"GoBistro","Miami","Miami / Dade County","Vegan","Open","315 Northwest 25th St, Miami, Florida, USA, 33127","","https://www.eatgoeats.com/","https://www.happycow.net/reviews/gobistro-miami-331374","4","ChIJ7WfMqpir2YgRlt5AoaSX0BM","2035 Hollywood Blvd, Hollywood, FL 33020, USA","26.0116782","-80.1484541","OPERATIONAL","https://eatgobistro.com/?utm_source=google","GoBistro"
"HotLime Tacos & Ceviche","Miami","Miami / Dade County","Vegan","Open","140 NE 39th St #241 (at Miami Design District), Miami, Florida, USA, 33137","+1-305-456-3070","https://www.hotlimekitchen.com/","https://www.happycow.net/reviews/hotlime-tacos-and-ceviche-miami-412517","1","ChIJt1pgD8mr2YgRqXTXxnlJO3c","140 NE 39th St #241, Miami, FL 33137, USA","25.8122458","-80.1914912","OPERATIONAL","https://www.hotlimekitchen.com/","HotLime Tacos & Ceviche"
"Ironside Kitchen","Miami","Miami / Dade County","Vegan","Open","7580 NE 4th Court, Miami, Florida, USA, 33138","+1-305-902-5016","https://www.pizzaironside.com/","https://www.happycow.net/reviews/ironside-kitchen-miami-92524","2","ChIJn821CH6x2YgRzHH9zkGHMoQ","7580 NE 4th Ct, Miami, FL 33138, USA","25.8449853","-80.18822560000001","OPERATIONAL","https://www.pizzaironside.com/","Ironside Pizza"
"Komodo","Miami","Miami / Dade County","Vegan","Open","801 Brickell Ave, Miami, Florida, USA, 33131","+1-305-534-2211","https://www.komodomiami.com/","https://www.happycow.net/reviews/komodo-miami-287990","4","ChIJd6C8AYO22YgRYuO-L2IUdDQ","801 Brickell Ave, Miami, FL 33131, USA","25.765616","-80.19006159999999","OPERATIONAL","https://komodomiami.com/","Komodo Miami"
"La Cañita","Miami","Miami / Dade County","Vegan","Open","401 Biscayne Blvd, Miami, Florida, USA, 33132","+1-305-392-0811","http://lacanitamiami.com/","https://www.happycow.net/reviews/la-canita-miami-348935","6","ChIJz4vF5NO32YgRmVL7Rp1apUI","Bayside Marketplace, 401 Biscayne Blvd #219N, Miami, FL 33132, USA","25.778754199999998","-80.1865873","OPERATIONAL","https://www.lacanitamiami.com/bayside/","La Cañita Bayside"
"La Sandwicherie","Miami","Miami / Dade County","Vegan","Open","34 SW 8th St, Miami, Florida, USA, 33130","+1-305-374-9852","http://www.lasandwicherie.com/","https://www.happycow.net/reviews/la-sandwicherie-miami-241587","","ChIJedi-Opu02YgR0PykdvjE_N4","229 14th St, Miami Beach, FL 33139, USA","25.7855384","-80.13141069999999","OPERATIONAL","http://www.lasandwicherie.com/","La Sandwicherie Miami Beach"
"Little Saigon","Miami","Miami / Dade County","Vegan","Open","16752 N Miami Ave, Miami, Florida, USA, 33169","+1-305-653-3377","https://leafletjs.com/","https://www.happycow.net/reviews/little-saigon-miami-451061","","ChIJeyEfam6u2YgRFnlZzpJzdyo","16752 N Miami Ave, North Miami Beach, FL 33169, USA","25.9285675","-80.2007471","OPERATIONAL","","Little Saigon"
"Lokal Burger and Beer","Miami","Miami / Dade County","Vegan","Open","3190 Commodore Plaza, Miami, Florida, USA, 33133","+1-305-442-3377","http://www.lokalmiami.com/","https://www.happycow.net/reviews/lokal-burger-and-beer-miami-65751","4","ChIJhV1hDsW32YgRNkvdmp8So4g","3190 Commodore Plaza, Miami, FL 33133, USA","25.7277661","-80.2450801","OPERATIONAL","https://www.kushhospitality.com/lokal","LoKal"
"SoCal Cantina","Miami","Miami / Dade County","Vegan","Open","1000 S Miami Ave, Miami, Florida, USA, 33130","+1-305-733-5349","https://www.ubereats.com/store/socal-cantina/j_uFHWk-X5ebhV9baJVsfw?diningMode=PICKUP&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkpvaG4lMjBQLiUyMFJvYmFydHMlMjBSZXNlYXJjaCUyMExpYnJhcnklMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJiNWNhYmE3My0zM2EwLTMwNzktYWNmYy1jNjhlMzRiNjlmMWQlMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIydWJlcl9wbGFjZXMlMjIlMkMlMjJsYXRpdHVkZSUyMiUzQTQzLjY2NDQyMjIlMkMlMjJsb25naXR1ZGUlMjIlM0EtNzkuMzk5NDY3MSU3RA%3D%3D&utm_campaign=CM2508147-search-free-nonbrand-google-pas_e_all_acq_Global&utm_medium=search-free-nonbrand&utm_source=google-pas","https://www.happycow.net/reviews/socal-cantina-miami-452731","1","ChIJ-bvvDIS22YgReVOSdeVEtQM","1000 S Miami Ave, Miami, FL 33130, USA","25.7641974","-80.1934337","OPERATIONAL","https://www.socal-taco.com/","SoCal Tacos Co. & Cantina"
"Soul Fresh Juice & Fruit Bar","Miami","Miami / Dade County","Vegan","Open","124 NE Second Ave, Miami, Florida, USA, 33132","+1-786-615-9495","https://soulfresh.miami/","https://www.happycow.net/reviews/soul-fresh-juice-and-fruit-bar-miami-338929","8","ChIJWxdVip622YgRw1QMzb9Ckkw","124 NE 2nd Ave, Miami, FL 33132, USA","25.7757644","-80.1904472","OPERATIONAL","https://soulfresh.miami/","Soul Fresh Juice & Fruit Bar"
"SpecialTEA Lounge","Miami","Miami / Dade County","Vegan","Open","10766 SW 24th St (at Columbia Shopping Plaza), Miami, Florida, USA, 33165","+1-305-554-8327","http://www.specialtealounge.com/","https://www.happycow.net/reviews/specialtea-lounge-miami-107597","18","ChIJYVe9hDW_2YgRYqu1JMb1WBc","10766 Coral Wy, Miami, FL 33165, USA","25.7460934","-80.3690793","OPERATIONAL","http://www.specialtealounge.com/","specialTEA Lounge & Café"
"Spris Artisan Pizza","Miami","Miami / Dade County","Vegan","Open","3201 N Miami Ave, Unit 102, Miami, Florida, USA, 33127","+1-305-576-0999","https://www.sprispizza.com/location/spris-pizza-midtown","https://www.happycow.net/reviews/spris-artisan-pizza-miami-278079","2","ChIJEfKHolOx2YgRs-iau3WeLCE","3201 N Miami Ave #102, Miami, FL 33127, USA","25.807959999999998","-80.19399100000001","OPERATIONAL","https://www.sprispizza.com/","Spris Artisan Pizza - Midtown"
"Strange Beast","Miami","Miami / Dade County","Vegan","Open","15220 SW 72nd St, Miami, Florida, USA, 33193","+1-305-209-0406","https://leafletjs.com/","https://www.happycow.net/reviews/strange-beast-miami-204177","5","ChIJ14X9pwTB2YgRkNmTI-DXoHY","15220 SW 72nd St, Miami, FL 33193, USA","25.698916500000003","-80.43943949999999","OPERATIONAL","https://www.strangebeast.beer/","Strange Beast"
"Pizza D'Light","Miami","Miami / Dade County","Vegan","Open","1700 79th Street Cswy, Unit 170, North Bay Village, Miami, Florida, USA, 33141","+1-305-867-4055","https://www.pizzadlight.com/","https://www.happycow.net/reviews/pizza-dlight-miami-330094","1","ChIJSeZ1z1Sy2YgRXXeFguFMg8M","1700 79th Street Causeway #170, North Bay Village, FL 33141, USA","25.848502","-80.14965749999999","OPERATIONAL","http://www.pizzad.com/","Pizza D'Light"
"Sexy Fish","Miami","Miami / Dade County","Vegan","Open","1001 S Miami Ave, Miami, Florida, USA, 33130","+1-305-889-7888","https://sexyfishmiami.com/","https://www.happycow.net/reviews/sexy-fish-miami-322110","21","ChIJdfkR4PC32YgRgxEP4swq1oY","1001 S Miami Ave, Miami, FL 33130, USA","25.7643553","-80.1930205","OPERATIONAL","https://sexyfishmiami.com/?utm_source=LocalGoogleExtNet&utm_medium=Organic","Sexy Fish Miami"
"Tacology","Miami","Miami / Dade County","Vegan","Open","701 S Miami Ave (at Brickell City Centre), Miami, Florida, USA, 33130","+1-786-347-5368","https://tacology.us/","https://www.happycow.net/reviews/tacology-miami-379943","9","ChIJUVVlmoS22YgR3DGWQWT-7LQ","4th, Centre, 701 S Miami Ave, Miami, FL 33131, USA","25.766697800000003","-80.1935424","OPERATIONAL","https://tacology.us/","Tacology Brickell - Mexican Taqueria"
"The Taco Stand","Miami","Miami / Dade County","Vegan","Open","313 Northwest 25th Street, Miami, Florida, USA, 33127","+1-786-580-4948","https://www.letstaco.com/location/miami-wynwood","https://www.happycow.net/reviews/the-taco-stand-miami-487461","","ChIJEaa-UrK22YgRW9rJ9rGCnOY","313 NW 25th St, Miami, FL 33127, USA","25.800753","-80.2013211","OPERATIONAL","http://letstaco.com/","The Taco Stand"
"Uptown 66 Taqueria","Miami","Miami / Dade County","Vegan","Open","6600 Biscayne Blvd, Miami, Florida, USA, 33138","+1-305-960-7117","https://uptown66.miami/","https://www.happycow.net/reviews/uptown-66-taqueria-miami-281737","1","ChIJu7dZY3az2YgRY-utNPiGFuU","6600 Biscayne Blvd, Miami, FL 33138, USA","25.8368567","-80.1844648","OPERATIONAL","https://uptown66.miami/","Uptown 66"
"World Famous House of Mac","Miami","Miami / Dade County","Vegan","Open","1951 NW 7th Ave Suite 190, Miami, Florida, USA, 33136","+1-786-636-6967","http://www.houseofmac.com/","https://www.happycow.net/reviews/world-famous-house-of-mac-miami-156075","21","ChIJIxjun3m32YgRPaxVBeLRSEE","1951 NW 7th Ave Ste 190, Miami, FL 33136, USA","25.794739","-80.20684949999999","OPERATIONAL","https://houseofmac.com/","World Famous House of Mac"
"Mister Mango","Miami","Miami / Dade County","Vegan","Open","7795 West Flagler St, Miami, Florida, USA, 33144","+1-786-961-0214","http://mistermango1.com/","https://www.happycow.net/reviews/mister-mango-miami-449876","1","ChIJE3sh-Lyx2YgR5VwhkZo9L5E","NE 36 St@NE, NE 1st Ave, Miami, FL 33137, USA","25.810341599999997","-80.1933224","OPERATIONAL","http://mistermango1.com/","Mister Mango"
"Peek A Treat","Miami","Miami / Dade County","Vegan","Open","184 NE 50th Tce, Miami, Florida, USA, 33137","+1-754-217-0918","https://www.peekatreatbakery.com/","https://www.happycow.net/reviews/peek-a-treat-miami-461195","1","ChIJcxYbkf-x2YgRRETHHdCQ-9M","184 NE 50th Terrace, Miami, FL 33137, USA","25.8219912","-80.1921912","OPERATIONAL","http://peekatreatbakery.com/","Peek Á Treat"
"Yōko Matcha","Miami","Miami / Dade County","Vegan","Open","2211 NW 2nd Ave, Miami, Florida, USA, 33127","+1-786-664-8097","http://www.yokomatcha.com/","https://www.happycow.net/reviews/yoko-matcha-miami-200688","1","ChIJ-XTD_rG22YgRgumtfSwo070","2211 NW 2nd Ave, Miami, FL 33127, USA","25.7981523","-80.1987881","OPERATIONAL","http://dasherandcrank.com/","Dasher & Crank / Matcha Café"
"Supernatural Kitchen","Miami Beach","Miami / Dade County","Vegan","Open","100 Collins Avenue, Miami Beach, Florida, USA, 33139","","https://www.doordash.com/store/supernatural-kitchen-miami-beach-35279625/75030550/?srsltid=AfmBOorJEPDpCFHU1CoEhO8xOZJatjEsMFSso7UHtBw5-m9MujnKQ4Ug","https://www.happycow.net/reviews/supernatural-kitchen-miami-beach-486599","16","ChIJ7XACkru12YgRwi5LZ5jHw3k","INSIDE KAVA GARDEN, 100 Collins Ave, Miami Beach, FL 33139, USA","25.7701127","-80.134288","OPERATIONAL","","Supernatural Kitchen"
"Bodega Taqueria y Tequila","Miami Beach","Miami / Dade County","Vegan","Open","1220 16th St, Miami Beach, Florida, USA, 33139","+1-305-704-2145","https://www.bodegataqueria.com/","https://www.happycow.net/reviews/bodega-taqueria-y-tequila-miami-beach-263092","6","ChIJ812ECoi02YgRNjj8YJ8We_c","1220 16th St, Miami Beach, FL 33139, USA","25.788688699999998","-80.1416244","OPERATIONAL","https://www.bodegataqueria.com/","Bodega Taqueria y Tequila"
"Bodegon71","Miami Beach","Miami / Dade County","Vegan","Open","1014 71st St, Miami Beach, Florida, USA, 33141","+1-305-868-8009","https://www.ubereats.com/store/bodegon-71/DL8cFM9ySxaLf56GnRxwRA?diningMode=DELIVERY&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlBPUyUyMFNvbHV0aW9ucyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUpoUTdkRWJKdTFtb1JXbzFndjllSUlMYyUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EtMzcuOTkwMjI4NiUyQyUyMmxvbmdpdHVkZSUyMiUzQTE0NS4xNTIzNjc5JTdE&utm_campaign=place-action-link&utm_medium=organic&utm_source=google","https://www.happycow.net/reviews/bodegon71-miami-beach-398537","","ChIJyTDM2vGz2YgRsh_-WilxKJ0","1014 71st St, Miami Beach, FL 33141, USA","25.8550453","-80.1289147","OPERATIONAL","https://www.bodegon71.com/","BODEGON 71"
"Aura on Lincoln","Miami Beach","Miami / Dade County","Vegan","Open","927 Lincoln Rd (at Lincoln Road Mall), Miami Beach, Florida, USA, 33139","+1-305-695-8898","https://auraonlincoln.com/","https://www.happycow.net/reviews/aura-on-lincoln-miami-beach-402670","4","ChIJpSkrZIa02YgRRCfH2RzEe5g","927 Lincoln Rd, Miami Beach, FL 33139, USA","25.7908748","-80.1383115","OPERATIONAL","https://auramiamibeach.com/","Aura Miami Beach"
"AVIV","Miami Beach","Miami / Dade County","Vegan","Open","2341 Collins Avenue, Miami Beach, Florida, USA, 33139","+1-305-768-1386","https://www.avivsb.com/?utm_source=google-gbp&amp;utm_medium=organic&amp;utm_campaign=gbp","https://www.happycow.net/reviews/aviv-miami-beach-487988","5","ChIJTcVvE8e12YgRLrRM14_YJzM","2341 Collins Ave, Miami Beach, FL 33139, USA","25.7998576","-80.127084","OPERATIONAL","https://www.avivsb.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=gbp","AVIV"
"Bombay Grill","Miami Beach","Miami / Dade County","Vegan","Open","232 12th St, Miami Beach, Florida, USA, 33139","+1-305-534-3996","http://miamibombaygrill.com/?utm_source=local&utm_medium=organic&utm_campaign=gmb","https://www.happycow.net/reviews/bombay-grill-miami-beach-149390","15","ChIJZ-t1phK12YgRmO3-wetlzS0","234 12th St, Miami Beach, FL 33139, USA","25.782866499999997","-80.1320296","OPERATIONAL","https://bombaybistromiami.com/","Bombay Bistro"
"Call Me Cuban","Miami Beach","Miami / Dade County","Vegan","Open","1300 Ocean Dr (at Cardozo South Beach), Miami Beach, Florida, USA, 33139","+1-786-577-7600","https://cardozohotel.com/south_beach_restaurants/call-me-cuban","https://www.happycow.net/reviews/call-me-cuban-miami-beach-388884","6","ChIJLbyQ65612YgRSIE8RQk7qmo","1300 Ocean Dr, Miami Beach, FL 33139, USA","25.7840986","-80.13010009999999","OPERATIONAL","https://cardozohotel.com/south_beach_restaurants/call-me-cuban","Call Me Cuban"
"Cecconi's","Miami Beach","Miami / Dade County","Vegan","Open","4385 Collins Ave, Miami Beach, Florida, USA, 33140","+1-786-507-7902","http://cecconismiamibeach.com/","https://www.happycow.net/reviews/cecconis-miami-beach-201355","18","ChIJpRtljWmz2YgRJ6ksY39Xs9A","4385 Collins Ave, Miami Beach, FL 33140, USA","25.8159746","-80.1220196","OPERATIONAL","https://www.cecconismiamibeach.com/?utm_source=google&utm_medium=organic&utm_campaign=googlemybusiness","Cecconi's Miami"
